Job Role,Skills,Experience/Eligibility,Target_Students,Domain
Data Analyst,"Python, SQL, Excel, Pandas, NumPy, Data Cleaning, Data Visualization, Tableau, PowerBI, Statistics, Report Writing, Problem Solving, Communication",0–2 yrs,College,Technical
AI/ML Intern,"Python, TensorFlow, PyTorch, Scikit-learn, NumPy, Pandas, Data Preprocessing, Feature Engineering, Model Evaluation, Machine Learning Algorithms, Deep Learning, Neural Networks, Data Visualization, Problem Solving",0–2 yrs,College,Technical
Software Developer,"Java, C++, Python, Git, Debugging, OOP Concepts, Data Structures, Algorithms, SQL, REST APIs, Unit Testing, Problem Solving, Communication",0–2 yrs,College,Technical
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Bootstrap, Responsive Design, Git, REST APIs, Debugging, Cross-browser Testing, Problem Solving",0–2 yrs,College,Technical
Cloud Engineer,"AWS Basics, Azure, GCP, Linux, Networking, Security Fundamentals, Virtualization, DevOps Basics, Docker, Kubernetes, Scripting, Monitoring, Problem Solving",0–2 yrs,College,Technical
Cybersecurity Intern,"Ethical Hacking, Network Security, Python, Penetration Testing, Vulnerability Assessment, Firewalls, Linux, Cryptography Basics, Malware Analysis, Incident Response, Problem Solving",0–2 yrs,College,Research
Robotics Intern,"Arduino, Raspberry Pi, Python, C/C++, Sensors, Motors, Circuit Design, Embedded Systems, Robotics Algorithms, Control Systems, Debugging, CAD, Problem Solving",0–2 yrs,College,Technical
Electrical Engineer,"Circuit Design, MATLAB, Electronics Testing, PCB Design, Power Systems, Control Systems, Signal Processing, Troubleshooting, Simulation, Problem Solving",0–2 yrs,College,Technical
Mechanical Engineer,"CAD, SolidWorks, Thermodynamics, Fluid Mechanics, Material Science, Problem Solving, Manufacturing Processes, MATLAB, Stress Analysis, 3D Modelling, AutoCAD",0–2 yrs,College,Technical
Civil Engineer,"AutoCAD, STAAD Pro, Surveying, Structural Analysis, Construction Materials, Project Planning, Drafting, Site Safety, Problem Solving, Report Writing",0–2 yrs,College,Technical
Environmental Researcher,"GIS, Data Collection, Soil Testing, Water Quality Analysis, Report Writing, Statistical Analysis, Research Methodology, Fieldwork, Problem Solving",0–2 yrs,College,Research
Biomedical Intern,"MATLAB, Circuit Design, Bioinstrumentation, Signal Processing, Data Analysis, Lab Safety, Microcontrollers, Biomedical Sensors, Documentation, Problem Solving",0–2 yrs,College,Medical/Technical
Pharma Intern,"Lab Techniques, Sample Analysis, Chemical Handling, Documentation, Safety Protocols, Quality Control, Equipment Handling, Problem Solving",0–2 yrs,College,Medical
Nursing Intern,"Patient Care, Vital Signs Monitoring, Basic Pharmacology, Hygiene, Communication, Record Keeping, Empathy, Basic Clinical Procedures",Beginner,School,Medical
Lab Assistant,"Observation, Basic Experiment Handling, Recording, Safety Protocols, Equipment Cleaning, Note-taking, Attention to Detail",Beginner,School,Medical
STEM Club Intern,"Basic Coding, Science Experiments, Robotics, Logical Thinking, Problem Solving, Creativity, Communication, Teamwork",Beginner,School,Technical
Graphic Designer,"Photoshop, Illustrator, Figma, Typography, Color Theory, Branding, Layout Design, UI/UX Basics, Creativity, Attention to Detail",0–2 yrs,College,Non-Technical
Animation Intern,"Adobe Animate, Blender, Storyboarding, Creativity, 2D/3D Animation, Timing, Character Design, Video Editing, Teamwork",0–2 yrs,College,Non-Technical
Digital Marketing Intern,"SEO, Google Analytics, Content Creation, Social Media Management, Copywriting, Excel, Email Marketing, Basic Design Tools, Creativity, Communication",0–2 yrs,College,Non-Technical
Content Writer,"Creative Writing, Research, Grammar, SEO, Blogging, Proofreading, Communication, Editing, Storytelling, Time Management",0–2 yrs,College,Non-Technical
Finance Intern,"Accounting, Financial Analysis, Excel, Reporting, Bookkeeping, Data Entry, MS Office, Problem Solving, Communication",0–2 yrs,College,Finance
Investment Analyst,"Financial Modeling, Valuation, Excel, Market Research, Accounting, Corporate Finance, PowerPoint, Reporting, Critical Thinking",0–2 yrs,College,Finance
HR Intern,"HR Policies, Recruitment Basics, Communication, MS Office, Resume Screening, Employee Engagement, Time Management, Documentation",0–2 yrs,College,Non-Technical
AI/ML (School),"Scratch, Python Basics, Logical Thinking, Creativity, Problem Solving, Algorithmic Thinking, Teamwork",Beginner,School,Technical
Drone Engineer,"CAD, Arduino, Motors, Sensors, Flight Dynamics, Python, Embedded Systems, Control Systems, Debugging, Teamwork, Problem Solving",0–2 yrs,College,Aerospace
Aerodynamics Researcher,"CFD, MATLAB, Aerodynamics Principles, Data Analysis, Simulation, Problem Solving, Report Writing, Experimental Design",0–2 yrs,College,Aerospace
Accounting Intern,"MS Excel, Accounting Principles, Financial Reporting, Bookkeeping, Ledger Management, Documentation, Attention to Detail",0–2 yrs,College,Finance
UX Researcher,"Figma, Wireframing, Prototyping, Usability Testing, Research Methods, User Interviews, Communication, Analysis, Reporting",0–2 yrs,College,Non-Technical
Fullstack Developer,"HTML, CSS, JavaScript, React, Node.js, SQL, REST APIs, Git, Testing, Debugging, Problem Solving, Agile Basics",0–2 yrs,College,Technical
Mechanical Designer,"AutoCAD, SolidWorks, CAD Modelling, Material Knowledge, Manufacturing Basics, Problem Solving, MATLAB, Teamwork",0–2 yrs,College,Technical
Electrical Designer,"Circuit Design, AutoCAD Electrical, MATLAB, Electronics Testing, Troubleshooting, Problem Solving, Documentation",0–2 yrs,College,Technical
